!distain	!distain		Remote Control	S:\Music\!distain\Unknown Album\!distain - Remote Control.mp3
2Cellos	2Cellos	Youtube	Hurt	S:\Music\2Cellos\Youtube\2Cellos - Hurt.mp3
Various World Artists	Various World Artists	Thinking Musically Disc 2	Inuit Juggling Game Song	S:\Music\Various World Artists\Thinking Musically Disc 2\Various World Artists - 45 - Inuit Juggling Game Song.mp3
Viet Nguyen And Jane Chiu	Various World Artists	Thinking Musically Disc 2	Frere Jacques	S:\Music\Various World Artists\Thinking Musically Disc 2\Viet Nguyen And Jane Chiu - 23 - Frere Jacques.mp3
Viet Nguyen And Jane Chiu	Various World Artists	Thinking Musically Disc 2	Western Major Diatonic Scale	S:\Music\Various World Artists\Thinking Musically Disc 2\Viet Nguyen And Jane Chiu - 24 - Western Major Diatonic Scale.mp3
Witold Lutoslawski Meridian Arts Ensemble	Various World Artists	Thinking Musically Disc 2	Mini Overture	S:\Music\Various World Artists\Thinking Musically Disc 2\Witold Lutoslawski Meridian Arts En - 04 - Mini Overture.mp3
Vaughan Williams	Vaughan Williams	classical chilling (sampler)	The Lark Ascending	S:\Music\Vaughan Williams\classical chilling (sampler)\Vaughan Williams - 03 - The Lark Ascending.mp3
Venga boys	Venga boys		We Like To Party	S:\Music\Venga boys\Unknown Album\Venga boys - We Like To Party.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Main Titles	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 01 - Main Titles.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Waterfall	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 02 - Waterfall.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Windmill	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 03 - Windmill.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Pyramid	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 04 - Pyramid.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Old House	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 05 - Old House.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Dance Party	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 06 - Dance Party.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Metal Plant	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 07 - Metal Plant.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Farm	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 08 - Farm.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Rooftop	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 09 - Rooftop.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Iceberg	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 10 - Iceberg.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Party Mode	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 11 - Party Mode.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Pier	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 12 - Pier.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Freeplay	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 13 - Freeplay.mp3
Vibe Avenue	Vibe Avenue	Ultimate Chicken Horse OST	Treehouse (Bonus Track)	S:\Music\Vibe Avenue\Ultimate Chicken Horse OST\Vibe Avenue - 14 - Treehouse (Bonus Track).mp3
Victoria Mullova	Victoria Mullova	Bach Bartok Paganini Works for Solo Violin	Bach Partita No1 in B minor BWV1002 - Sarabande	S:\Music\Victoria Mullova\Bach Bartok Paganini Works for Solo\Victoria Mullova - 05 - Bach Partita No1 in B minor BWV1002 - Sarabande.mp3
Nobuo Uematsu	Video Game Soundtrack	Final Fantasy VII	The Man With The Machine Gun	S:\Music\Video Game Soundtrack_Nobuo Uematsu\Final Fantasy VII\Nobuo Uematsu - 19 - The Man With The Machine Gun.mp3
Nobuo Uematsu	Video Game Soundtrack	Final Fantasy, Vol. 8 (4 of 4)	Ending Theme (Eyes on you)	S:\Music\Video Game Soundtrack_Nobuo Uematsu\Final Fantasy, Vol. 8 (4 of 4)\Nobuo Uematsu - 11 - Ending Theme (Eyes on you).mp3
Nobuo Uematsu	Video Game Soundtrack	Orchestral Game Concert	Ending Theme - FFIV	S:\Music\Video Game Soundtrack_Nobuo Uematsu\Orchestral Game Concert\Nobuo Uematsu - 12 - Ending Theme - FFIV.mp3
Vienna Teng	Vienna Teng	Warm Strangers	The Passage	S:\Music\Vienna Teng\Warm Strangers\Vienna Teng - 01 - The Passage.mp3
Vito and Salutations	Vito and Salutations		Gloria	S:\Music\Vito and Salutations\Unknown Album\Vito and Salutations - Gloria.mp3
Vito and the Salutations	Vito and the Salutations		Unchained Melody	S:\Music\Vito and the Salutations\Unknown Album\Vito and the Salutations - Unchained Melody.mp3
VNV Nation	VNV Nation	Burning Empires	Lastlight	S:\Music\VNV Nation\Burning Empires\VNV Nation - 01 - Lastlight.mp3
VNV Nation	VNV Nation	Burning Empires	Kingdom (Restoration)	S:\Music\VNV Nation\Burning Empires\VNV Nation - 02 - Kingdom (Restoration).mp3
VNV Nation	VNV Nation	Burning Empires	Further	S:\Music\VNV Nation\Burning Empires\VNV Nation - 03 - Further.mp3
VNV Nation	VNV Nation	Burning Empires	Legion (janus)	S:\Music\VNV Nation\Burning Empires\VNV Nation - 04 - Legion (janus).mp3
VNV Nation	VNV Nation	Burning Empires	Savior (Vox)	S:\Music\VNV Nation\Burning Empires\VNV Nation - 05 - Savior (Vox).mp3
VNV Nation	VNV Nation	Burning Empires	Fragments (Splinter)	S:\Music\VNV Nation\Burning Empires\VNV Nation - 06 - Fragments (Splinter).mp3
VNV Nation	VNV Nation	Burning Empires	Legion (Anachron)	S:\Music\VNV Nation\Burning Empires\VNV Nation - 07 - Legion (Anachron).mp3
VNV Nation	VNV Nation	Futureperfect	Beloved	S:\Music\VNV Nation\Futureperfect\VNV Nation - 11 - Beloved.mp3
LifeForce	VNV Nation	Iji soundtrack	Further	S:\Music\VNV Nation\Iji soundtrack\LifeForce - Further.mp3
VNV Nation	VNV Nation	Praise the Fallen	Solitary	S:\Music\VNV Nation\Praise the Fallen\VNV Nation - 09 - Solitary.mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Nova (Maestoso)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 01 - Nova (Maestoso).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Legion (Vivace con affeto)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 02 - Legion (Vivace con affeto).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Solitary (Allegro con spirito)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 03 - Solitary (Allegro con spirito).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Further (Andante appassionato)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 04 - Further (Andante appassionato).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Perpetual (Allegro espressivo)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 05 - Perpetual (Allegro espressivo).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Illusion (Andante grazioso)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 06 - Illusion (Andante grazioso).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Nova (Largo)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 07 - Nova (Largo).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Sentinel (Moderato sostenuto)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 08 - Sentinel (Moderato sostenuto).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Standing (Moderato declamando)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 09 - Standing (Moderato declamando).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Beloved (Allegro grazioso)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 10 - Beloved (Allegro grazioso).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Resolution (Allegro con fuoco)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 11 - Resolution (Allegro con fuoco).mp3
VNV Nation & The Babelsberg Film Orchestra	VNV Nation	Resonance	Teleconnect Pt.2 (Adagio)	S:\Music\VNV Nation\Resonance\VNV Nation & The Babelsberg Film Or - 12 - Teleconnect Pt.2 (Adagio).mp3
VNV Nation	VNV Nation	Transnational	Generator	S:\Music\VNV Nation\Transnational\VNV Nation - 01 - Generator.mp3
VNV Nation	VNV Nation	Transnational	Everything	S:\Music\VNV Nation\Transnational\VNV Nation - 02 - Everything.mp3
VNV Nation	VNV Nation	Transnational	Primary	S:\Music\VNV Nation\Transnational\VNV Nation - 03 - Primary.mp3
VNV Nation	VNV Nation	Transnational	Retaliate	S:\Music\VNV Nation\Transnational\VNV Nation - 04 - Retaliate.mp3
VNV Nation	VNV Nation	Transnational	Lost Horizon	S:\Music\VNV Nation\Transnational\VNV Nation - 05 - Lost Horizon.mp3
VNV Nation	VNV Nation	Transnational	Teleconnect Pt. 1	S:\Music\VNV Nation\Transnational\VNV Nation - 06 - Teleconnect Pt. 1.mp3
VNV Nation	VNV Nation	Transnational	If I Was	S:\Music\VNV Nation\Transnational\VNV Nation - 07 - If I Was.mp3
VNV Nation	VNV Nation	Transnational	Aeroscope	S:\Music\VNV Nation\Transnational\VNV Nation - 08 - Aeroscope.mp3
VNV Nation	VNV Nation	Transnational	Off Screen	S:\Music\VNV Nation\Transnational\VNV Nation - 09 - Off Screen.mp3
VNV Nation	VNV Nation	Transnational	Teleconnect Pt. 2	S:\Music\VNV Nation\Transnational\VNV Nation - 10 - Teleconnect Pt. 2.mp3
Vocal Point	Vocal Point	Nonstop	THX Intro	S:\Music\Vocal Point\Nonstop\Vocal Point - 01 - THX Intro.mp3
Vocal Point	Vocal Point	Nonstop	Spider-Man Theme	S:\Music\Vocal Point\Nonstop\Vocal Point - 02 - Spider-Man Theme.mp3
Vocal Point	Vocal Point	Nonstop	Take On Me	S:\Music\Vocal Point\Nonstop\Vocal Point - 03 - Take On Me.mp3
Vocal Point	Vocal Point	Nonstop	Superstition	S:\Music\Vocal Point\Nonstop\Vocal Point - 04 - Superstition.mp3
Vocal Point	Vocal Point	Nonstop	Black Balloon	S:\Music\Vocal Point\Nonstop\Vocal Point - 05 - Black Balloon.mp3
Vocal Point	Vocal Point	Nonstop	Sing, Sing, Sing	S:\Music\Vocal Point\Nonstop\Vocal Point - 06 - Sing, Sing, Sing.mp3
Vocal Point	Vocal Point	Nonstop	Sunshine Medley	S:\Music\Vocal Point\Nonstop\Vocal Point - 07 - Sunshine Medley.mp3
Vocal Point	Vocal Point	Nonstop	No Not Much	S:\Music\Vocal Point\Nonstop\Vocal Point - 08 - No Not Much.mp3
Vocal Point	Vocal Point	Nonstop	Home (Marc Broussard)	S:\Music\Vocal Point\Nonstop\Vocal Point - 09 - Home (Marc Broussard).mp3
Vocal Point	Vocal Point	Nonstop	When You Come Back to Me Again	S:\Music\Vocal Point\Nonstop\Vocal Point - 10 - When You Come Back to Me Again.mp3
Vocal Point	Vocal Point	Nonstop	Praise to the Man	S:\Music\Vocal Point\Nonstop\Vocal Point - 11 - Praise to the Man.mp3
Vocal Point	Vocal Point	Nonstop	Super Mario Medley	S:\Music\Vocal Point\Nonstop\Vocal Point - 12 - Super Mario Medley.mp3
Vocal Point	Vocal Point	Nonstop	Thriller	S:\Music\Vocal Point\Nonstop\Vocal Point - 13 - Thriller.mp3
Vocal Point	Vocal Point	Nonstop	Home (Michael Bublé)	S:\Music\Vocal Point\Nonstop\Vocal Point - 14 - Home (Michael Bublé).mp3
Vocal Point	Vocal Point	Nonstop	Bigger then My Body	S:\Music\Vocal Point\Nonstop\Vocal Point - 15 - Bigger then My Body.mp3
Vocal Point	Vocal Point	Nonstop	Nearer My God to Thee	S:\Music\Vocal Point\Nonstop\Vocal Point - 16 - Nearer My God to Thee.mp3
Vocal Point	Vocal Point		Jackie Chan	S:\Music\Vocal Point\Unknown Album\Vocal Point - Jackie Chan.mp3
Waffleman	Waffleman	Torn Apart: Over the Net - Kay	Epic fight scene	S:\Music\Waffleman\Torn Apart_ Over the Net - Kay\Waffleman - Epic fight scene.mp3
Wagner	Wagner	Compilation of Awesomeness Vol. II	Flight of the Valkeries	S:\Music\Wagner\Compilation of Awesomeness Vol. II\Wagner - 21 - Flight of the Valkeries.mp3
Wam	Wam	Compilation of Awesomeness Vol. II	Wake me up before you go-go	S:\Music\Wam\Compilation of Awesomeness Vol. II\Wam - 22 - Wake me up before you go-go.mp3
Wang Chung	Wang Chung	Millenium '80's New Wave Party	Everybody Have Fun Tonight	S:\Music\Wang Chung\Millenium '80's New Wave Party\Wang Chung - 20 - Everybody Have Fun Tonight.mp3
War	War		Low Rider	S:\Music\War\Unknown Album\War - 32 - Low Rider.mp3
Was (Not Was)	Was (Not Was)		Walk The Dinosaur 	S:\Music\Was (Not Was)\Unknown Album\Was (Not Was) - 10 - Walk The Dinosaur.mp3
Washed Out	Washed Out		You And I	S:\Music\Washed Out\Unknown Album\Washed Out - You And I.mp3
Ryan Hemsworth & Wave Racer	Wave Racer	Destroyed	Ryan must be destroyed (Wave Racer remix)	S:\Music\Wave Racer\Destroyed\Ryan Hemsworth & Wave Racer - Ryan must be destroyed (Wave Racer remix).mp3
Wave Racer	Wave Racer	Flash Drive EP	Introooo (feat. Cosmo's Midnight)	S:\Music\Wave Racer\Flash Drive EP\Wave Racer - 01 - Introooo (feat. Cosmo's Midnight).mp3
Wave Racer	Wave Racer	Flash Drive EP	World Record (feat. Lido)	S:\Music\Wave Racer\Flash Drive EP\Wave Racer - 02 - World Record (feat. Lido).mp3
Wave Racer	Wave Racer	Flash Drive EP	Flash Drive (feat. B▲BY)	S:\Music\Wave Racer\Flash Drive EP\Wave Racer - 03 - Flash Drive (feat. B▲BY).mp3
Wave Racer	Wave Racer	Flash Drive EP	Bubble Wrap	S:\Music\Wave Racer\Flash Drive EP\Wave Racer - 04 - Bubble Wrap.mp3
Wave Racer	Wave Racer	Rock U Tonite / Stoopid - Single	Rock U Tonite	S:\Music\Wave Racer\Rock U Tonite _ Stoopid - Single\Wave Racer - 01 - Rock U Tonite.mp3
Wave Racer	Wave Racer	Rock U Tonite / Stoopid - Single	Stoopid	S:\Music\Wave Racer\Rock U Tonite _ Stoopid - Single\Wave Racer - 02 - Stoopid.mp3
Wave Racer & Slumberjack	Wave Racer	Soundcloud	Rock U Tonite (Slumberjack Remix)	S:\Music\Wave Racer\Soundcloud\Wave Racer & Slumberjack - Rock U Tonite (Slumberjack Remix).mp3
Wave Racer	Wave Racer	Streamers	Streamers (Original Mix)	S:\Music\Wave Racer\Streamers\Wave Racer - 01 - Streamers (Original Mix).mp3
Wax Audio	Wax Audio	Mashups	Thunder Busters	S:\Music\Wax Audio\Mashups\Wax Audio - Thunder Busters.mp3
Weezer	Weezer	Make Believe	Beverly Hills	S:\Music\Weezer\Make Believe\Weezer - 01 - Beverly Hills.mp3
Weezer	Weezer	The Green Album	Perfect Situation	S:\Music\Weezer\The Green Album\Weezer - 13 - Perfect Situation.mp3
Weezer	Weezer	The Red Album	Troublemaker	S:\Music\Weezer\The Red Album\Weezer - 01 - Troublemaker.mp3
Weezer	Weezer	The Red Album	The Greatest Man That Ever Lived (Variations On A Shaker Hymn)	S:\Music\Weezer\The Red Album\Weezer - 02 - The Greatest Man That Ever Lived (Variations On A Shaker Hymn).mp3
Weezer	Weezer	The Red Album	Pork And Beans	S:\Music\Weezer\The Red Album\Weezer - 03 - Pork And Beans.mp3
Weezer	Weezer	The Red Album	Heart Songs	S:\Music\Weezer\The Red Album\Weezer - 04 - Heart Songs.mp3
Weezer	Weezer	The Red Album	Everybody Get Dangerous	S:\Music\Weezer\The Red Album\Weezer - 05 - Everybody Get Dangerous.mp3
Weezer	Weezer	The Red Album	Dreamin'	S:\Music\Weezer\The Red Album\Weezer - 06 - Dreamin'.mp3
Weezer	Weezer	The Red Album	Thought I Knew	S:\Music\Weezer\The Red Album\Weezer - 07 - Thought I Knew.mp3
Weezer	Weezer	The Red Album	Cold Dark World	S:\Music\Weezer\The Red Album\Weezer - 08 - Cold Dark World.mp3
Weezer	Weezer	The Red Album	Automatic	S:\Music\Weezer\The Red Album\Weezer - 09 - Automatic.mp3
Weezer	Weezer	The Red Album	Angel And The One	S:\Music\Weezer\The Red Album\Weezer - 10 - Angel And The One.mp3
Weezer	Weezer	Weezer (Blue Album)	My Name Is Jonas	S:\Music\Weezer\Weezer (Blue Album)\Weezer - 01 - My Name Is Jonas.mp3
Weezer	Weezer	Weezer (Blue Album)	Buddy Holly	S:\Music\Weezer\Weezer (Blue Album)\Weezer - 04 - Buddy Holly.mp3
Weezer	Weezer	Weezer (Blue Album)	Undone - The Sweater Song	S:\Music\Weezer\Weezer (Blue Album)\Weezer - 05 - Undone - The Sweater Song.mp3
Weezer	Weezer	Weezer (Blue Album)	Surf Wax America	S:\Music\Weezer\Weezer (Blue Album)\Weezer - 06 - Surf Wax America.mp3
Weezer	Weezer	Weezer (Blue Album)	In the Garage	S:\Music\Weezer\Weezer (Blue Album)\Weezer - 08 - In the Garage.mp3
Weird Al Yankovic	Weird Al Yankovic	Running With Scissors	Albuquerque	S:\Music\Weird Al Yankovic\Running With Scissors\Weird Al Yankovic - 12 - Albuquerque.mp3
Weird Al Yankovic	Weird Al Yankovic	Straight Outta Lynwood	White And Nerdy	S:\Music\Weird Al Yankovic\Straight Outta Lynwood\Weird Al Yankovic - White And Nerdy.mp3
Whackjood	Whackjood	Youtube	Golden Cupcakes	S:\Music\Whackjood\Youtube\Whackjood - Golden Cupcakes.mp3
Whitetail & Mane6	Whitetail	Fighting is Magic	Rarity's Boutique	S:\Music\Whitetail\Fighting is Magic\Whitetail & Mane6 - Rarity's Boutique.mp3
Wayne, Drew, Ryan	Whose Line Is It Anyway?	Whose Line Is It Anyway?	Broadway Star - You Are My Butterstick	S:\Music\Whose Line Is It Anyway_\Whose Line Is It Anyway_\Wayne, Drew, Ryan - 01 - Broadway Star - You Are My Butterstick.mp3
Original Broadway Cast	Wicked	Wicked	No One Mourns The Wicked	S:\Music\Wicked\Wicked\Original Broadway Cast - 01 - No One Mourns The Wicked.mp3
Original Broadway Cast	Wicked	Wicked	Dear Old Shiz	S:\Music\Wicked\Wicked\Original Broadway Cast - 02 - Dear Old Shiz.mp3
Original Broadway Cast	Wicked	Wicked	The Wizard And I	S:\Music\Wicked\Wicked\Original Broadway Cast - 03 - The Wizard And I.mp3
Original Broadway Cast	Wicked	Wicked	What Is This Feeling?	S:\Music\Wicked\Wicked\Original Broadway Cast - 04 - What Is This Feeling_.mp3
Original Broadway Cast	Wicked	Wicked	Something Bad	S:\Music\Wicked\Wicked\Original Broadway Cast - 05 - Something Bad.mp3
Original Broadway Cast	Wicked	Wicked	Dancing Through Life	S:\Music\Wicked\Wicked\Original Broadway Cast - 06 - Dancing Through Life.mp3
Original Broadway Cast	Wicked	Wicked	Popular	S:\Music\Wicked\Wicked\Original Broadway Cast - 07 - Popular.mp3
Original Broadway Cast	Wicked	Wicked	I'm Not That Girl	S:\Music\Wicked\Wicked\Original Broadway Cast - 08 - I'm Not That Girl.mp3
Original Broadway Cast	Wicked	Wicked	One Short Day	S:\Music\Wicked\Wicked\Original Broadway Cast - 09 - One Short Day.mp3
Original Broadway Cast	Wicked	Wicked	A Sentimental Man	S:\Music\Wicked\Wicked\Original Broadway Cast - 10 - A Sentimental Man.mp3
Original Broadway Cast	Wicked	Wicked	Defying Gravity	S:\Music\Wicked\Wicked\Original Broadway Cast - 11 - Defying Gravity.mp3
Original Broadway Cast	Wicked	Wicked	Thank Goodness	S:\Music\Wicked\Wicked\Original Broadway Cast - 12 - Thank Goodness.mp3
Original Broadway Cast	Wicked	Wicked	Wonderful	S:\Music\Wicked\Wicked\Original Broadway Cast - 13 - Wonderful.mp3
Original Broadway Cast	Wicked	Wicked	I'm Not That Girl (Reprise)	S:\Music\Wicked\Wicked\Original Broadway Cast - 14 - I'm Not That Girl (Reprise).mp3
Original Broadway Cast	Wicked	Wicked	As Long As Your Mine	S:\Music\Wicked\Wicked\Original Broadway Cast - 15 - As Long As Your Mine.mp3
Original Broadway Cast	Wicked	Wicked	No Good Deed	S:\Music\Wicked\Wicked\Original Broadway Cast - 16 - No Good Deed.mp3
Original Broadway Cast	Wicked	Wicked	March Of The Witch Hunters	S:\Music\Wicked\Wicked\Original Broadway Cast - 17 - March Of The Witch Hunters.mp3
Original Broadway Cast	Wicked	Wicked	For Good	S:\Music\Wicked\Wicked\Original Broadway Cast - 18 - For Good.mp3
Original Broadway Cast	Wicked	Wicked	Finale	S:\Music\Wicked\Wicked\Original Broadway Cast - 19 - Finale.mp3
Idina Menzel & Kristen Chenowe	Wicked	Wicked Soundtrack	Defying Gravity (Piano)	S:\Music\Wicked\Wicked Soundtrack\Idina Menzel & Kristen Chenowe - 09 - Defying Gravity (Piano).mp3
Wilbert Harrison	Wilbert Harrison		Kansas City	S:\Music\Wilbert Harrison\Unknown Album\Wilbert Harrison - Kansas City.mp3
Wild Cherry	Wild Cherry	Wild Cherry	Play That Funky Music	S:\Music\Wild Cherry\Wild Cherry\Wild Cherry - 01 - Play That Funky Music.mp3
Will Smith	Will Smith	Greatest Hits	Will 2k	S:\Music\Will Smith\Greatest Hits\Will Smith - 12 - Will 2k.mp3
William Fitzsimmons	William Fitzsimmons	Derivatives	So This Is Goodbye	S:\Music\William Fitzsimmons\Derivatives\William Fitzsimmons - 05 - So This Is Goodbye.mp3
William Fitzsimmons	William Fitzsimmons	Goodnight	Everything Has Changed	S:\Music\William Fitzsimmons\Goodnight\William Fitzsimmons - 03 - Everything Has Changed.mp3
William Joseph & David Foster	William Joseph	Beyond	Once Upon Love	S:\Music\William Joseph\Beyond\William Joseph & David Foster - 05 - Once Upon Love.mp3
William Joseph & Jesse Cook	William Joseph	Beyond	Asturias	S:\Music\William Joseph\Beyond\William Joseph & Jesse Cook - 11 - Asturias.mp3
William Joseph	William Joseph	Beyond	Standing the Storm	S:\Music\William Joseph\Beyond\William Joseph - 01 - Standing the Storm.mp3
William Joseph	William Joseph	Beyond	Beyond	S:\Music\William Joseph\Beyond\William Joseph - 02 - Beyond.mp3
William Joseph	William Joseph	Beyond	Leningrad	S:\Music\William Joseph\Beyond\William Joseph - 03 - Leningrad.mp3
William Joseph	William Joseph	Beyond	Heroes	S:\Music\William Joseph\Beyond\William Joseph - 04 - Heroes.mp3
William Joseph	William Joseph	Beyond	Kashmir	S:\Music\William Joseph\Beyond\William Joseph - 06 - Kashmir.mp3
William Joseph	William Joseph	Beyond	Sweet Remembrance of You	S:\Music\William Joseph\Beyond\William Joseph - 07 - Sweet Remembrance of You.mp3
William Joseph	William Joseph	Beyond	Apasionada	S:\Music\William Joseph\Beyond\William Joseph - 08 - Apasionada.mp3
William Joseph	William Joseph	Beyond	Return With Honor	S:\Music\William Joseph\Beyond\William Joseph - 09 - Return With Honor.mp3
William Joseph	William Joseph	Beyond	Cinema Paradiso	S:\Music\William Joseph\Beyond\William Joseph - 10 - Cinema Paradiso.mp3
William Joseph	William Joseph	Beyond	A Mother's Heart	S:\Music\William Joseph\Beyond\William Joseph - 12 - A Mother's Heart.mp3
William Joseph & Garou	William Joseph	Within	Dust In The Wind	S:\Music\William Joseph\Within\William Joseph & Garou - 10 - Dust In The Wind.mp3
William Joseph & Lucia Micarelli	William Joseph	Within	Kashmir	S:\Music\William Joseph\Within\William Joseph & Lucia Micarelli - 06 - Kashmir.mp3
William Joseph	William Joseph	Within	Within	S:\Music\William Joseph\Within\William Joseph - 01 - Within.mp3
William Joseph	William Joseph	Within	Eternal	S:\Music\William Joseph\Within\William Joseph - 02 - Eternal.mp3
William Joseph	William Joseph	Within	Stella's Theme	S:\Music\William Joseph\Within\William Joseph - 03 - Stella's Theme.mp3
William Joseph	William Joseph	Within	Butterflies And Hurricanes	S:\Music\William Joseph\Within\William Joseph - 04 - Butterflies And Hurricanes.mp3
William Joseph	William Joseph	Within	Ave Maria	S:\Music\William Joseph\Within\William Joseph - 05 - Ave Maria.mp3
William Joseph	William Joseph	Within	Homeward Bound	S:\Music\William Joseph\Within\William Joseph - 07 - Homeward Bound.mp3
William Joseph	William Joseph	Within	Piano Fantasy	S:\Music\William Joseph\Within\William Joseph - 08 - Piano Fantasy.mp3
William Joseph	William Joseph	Within	Se Si Perde Un Amore	S:\Music\William Joseph\Within\William Joseph - 09 - Se Si Perde Un Amore.mp3
William Joseph	William Joseph	Within	Grace	S:\Music\William Joseph\Within\William Joseph - 11 - Grace.mp3
Wilson Pickett	Wilson Pickett		Land Of A 1000 Dances	S:\Music\Wilson Pickett\Unknown Album\Wilson Pickett - Land Of A 1000 Dances.mp3
Wipeout	Wipeout		Surfaris	S:\Music\Wipeout\Unknown Album\Wipeout - Surfaris.mp3
Maaya Sakamoto	Wolf's Rain	Wolf's Rain OST	Gravity	S:\Music\Wolf's Rain\Wolf's Rain OST\Maaya Sakamoto - 16 - Gravity.mp3
Maaya Sakamoto	Wolf's Rain	Wolf's Rain OST	Tell Me What the Rain Knows	S:\Music\Wolf's Rain\Wolf's Rain OST\Maaya Sakamoto - 18 - Tell Me What the Rain Knows.mp3
Steve Conte	Wolf's Rain	Wolf's Rain OST	Stray	S:\Music\Wolf's Rain\Wolf's Rain OST\Steve Conte - 01 - Stray.mp3
Yoko Kanno	Wolf's Rain	Wolf's Rain OST	Shiro	S:\Music\Wolf's Rain\Wolf's Rain OST\Yoko Kanno - 07 - Shiro.mp3
Yoko Kanno	Wolf's Rain	Wolf's Rain OST	Tip Toe Waltz	S:\Music\Wolf's Rain\Wolf's Rain OST\Yoko Kanno - 11 - Tip Toe Waltz.mp3
Yoko Kanno	Wolf's Rain	Wolf's Rain OST 1	Rakuen	S:\Music\Wolf's Rain\Wolf's Rain OST 1\Yoko Kanno - 02 - Rakuen.mp3
Yoko Kanno	Wolf's Rain	Wolf's Rain OST 1	Paradiso	S:\Music\Wolf's Rain\Wolf's Rain OST 1\Yoko Kanno - 21 - Paradiso.mp3
Steve Conte	Wolf's Rain	Wolf's Rain OST 2	Heaven's Not Enough	S:\Music\Wolf's Rain\Wolf's Rain OST 2\Steve Conte - 01 - Heaven's Not Enough.mp3
Yoko Kanno	Wolf's Rain	Wolf's Rain OST 2	Shiro / Long Tails	S:\Music\Wolf's Rain\Wolf's Rain OST 2\Yoko Kanno - 02 - Shiro _ Long Tails.mp3
Yoko Kanno	Wolf's Rain	Wolf's Rain OST 2	Cycle	S:\Music\Wolf's Rain\Wolf's Rain OST 2\Yoko Kanno - 03 - Cycle.mp3
Yoko Kanno	Wolf's Rain	Wolf's Rain OST 2	Beyond Me	S:\Music\Wolf's Rain\Wolf's Rain OST 2\Yoko Kanno - 04 - Beyond Me.mp3
